"Cryptocurrency","Pump % Gain","Timeframe","Start time","Start price: BTC","Start price: USD","End price: BTC","End price: USD","Publishing time (GMT +2)"
"Counterparty","5.056%","5:03 min","8:07 PM","0.000616","$3.87","0.000649","$4.07","2018-08-13 20:12:03"
"Expanse","5.478%","5:03 min","8:07 PM","0.000081","$0.51","0.000086","$0.54","2018-08-13 20:12:03"
"Counterparty","5.056%","5:00 min","8:06 PM","0.000616","$3.87","0.000649","$4.07","2018-08-13 20:11:00"
"Bitcrystals","6.425%","5:00 min","8:06 PM","0.000013","$0.08","0.000014","$0.09","2018-08-13 20:11:00"
"Bitcrystals","6.425%","5:02 min","8:03 PM","0.000013","$0.08","0.000014","$0.09","2018-08-13 20:08:02"
"Breakout Stake","6.4%","4:02 min","8:04 PM","0.000034","$0.21","0.000036","$0.23","2018-08-13 20:08:02"
"ProChain","5.591%","4:12 min","7:58 PM","0.000053","$0.33","0.000056","$0.35","2018-08-13 20:02:12"
"ProChain","5.591%","4:02 min","7:58 PM","0.000053","$0.33","0.000056","$0.35","2018-08-13 20:02:02"
"ZClassic","5.844%","5:02 min","7:53 PM","0.001543","$9.65","0.001639","$10.25","2018-08-13 19:58:02"
"NeosCoin","5.074%","5:02 min","7:53 PM","0.000165","$1.03","0.000174","$1.09","2018-08-13 19:58:02"
"ReddCoin","5.405%","4:02 min","7:50 PM","0.000000350","$0.00","0.000000370","$0.00","2018-08-13 19:54:02"
"NeosCoin","10.902%","5:02 min","7:31 PM","0.000163","$1.02","0.000183","$1.14","2018-08-13 19:36:02"
"ArtByte","12.5%","5:02 min","7:31 PM","0.000000350","$0.00","0.000000400","$0.00","2018-08-13 19:36:02"
"NeosCoin","10.902%","4:02 min","7:30 PM","0.000163","$1.02","0.000183","$1.15","2018-08-13 19:34:02"
"ArtByte","10.256%","4:02 min","7:30 PM","0.000000350","$0.00","0.000000390","$0.00","2018-08-13 19:34:02"
"PinkCoin","5.556%","4:02 min","7:20 PM","0.000001","$0.01","0.000001","$0.01","2018-08-13 19:24:02"
"ReddCoin","5.405%","5:01 min","7:13 PM","0.000000350","$0.00","0.000000370","$0.00","2018-08-13 19:18:01"
"Bitcrystals","5.283%","4:01 min","7:14 PM","0.000012","$0.08","0.000013","$0.08","2018-08-13 19:18:01"
"e-Gulden","5.239%","5:02 min","7:07 PM","0.000008","$0.05","0.000009","$0.06","2018-08-13 19:12:02"
"Counterparty","5.9%","5:02 min","7:07 PM","0.000640","$4.01","0.000680","$4.26","2018-08-13 19:12:02"
"e-Gulden","5.239%","4:12 min","7:07 PM","0.000008","$0.05","0.000009","$0.06","2018-08-13 19:11:12"
"Counterparty","5.814%","4:12 min","7:07 PM","0.000640","$4.01","0.000679","$4.26","2018-08-13 19:11:12"
"eBoost","5.589%","5:02 min","7:03 PM","0.000009","$0.06","0.0000100","$0.06","2018-08-13 19:08:02"
"Counterparty","5.09%","4:02 min","7:02 PM","0.000664","$4.17","0.000700","$4.39","2018-08-13 19:06:02"
"Counterparty","5.09%","2:02 min","7:02 PM","0.000664","$4.17","0.000700","$4.39","2018-08-13 19:04:02"
"Emercoin","9.13%","5:01 min","6:43 PM","0.000270","$1.69","0.000297","$1.86","2018-08-13 18:48:01"
